S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
36,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,36,709.2,"₹ 3,116.00","112,176.00","132,367.68","135,015.03",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,70,"1,554.00","₹ 4,917.00","344,190.00","406,144.20","414,267.08",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,32,704,"₹ 7,133.00","228,256.00","269,342.08","274,728.92",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,7,136.5,"₹ 4,535.00","31,745.00","37,459.10","38,208.28",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,1,18.2,"₹ 4,545.00","4,545.00","5,363.10","5,470.36",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
37,Q1,MMPO262700061,Close,April,,23/4/2026,SC2270000016,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Bengaluru,South,1,22.2,"₹ 5,319.00","5,319.00","6,276.42","6,401.95",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700061,Close,April,,23/4/2026,SC2270000016,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Bengaluru,South,1,23,"₹ 7,561.00","7,561.00","8,921.98","9,100.42",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700061,Close,April,,23/4/2026,SC2270000016,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,5,133.2,"₹ 2,139.00","10,695.00","12,620.10","12,872.50",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
38,Q1,MMPO262700062,Close,April,,23/4/2026,SC2270000014,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,1,22,"₹ 5,319.00","5,319.00","6,276.42","6,401.95",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700062,Close,April,,23/4/2026,SC2270000014,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,2,46.68,"₹ 2,139.00","4,278.00","5,048.04","5,149.00",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
39,Q1,MMPO262700064,Close,April,,28/4/2026,TMI/001,Trimurthi international,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"8,540.00","8,540.00","₹ 1,160.00","9,906,400.00","11,689,552.00","11,923,343.04",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
